id,status,stage,name,ref,duration,queued_duration,created_at,failure_reason,web_url
7454370,success,zombienet,zombienet-cumulus-0003-full_node_catching_up,5741,312.4628,298.9561,2024-09-27T12:19:26.407Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454370
7454369,success,zombienet,zombienet-cumulus-0002-pov_recovery,5741,1047.4207,239.65797,2024-09-27T12:19:26.400Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454369
7454368,success,zombienet,zombienet-cumulus-0001-sync_blocks_from_tip_without_connected_collator,5741,417.4042,238.99751,2024-09-27T12:19:26.393Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454368
7454367,success,zombienet,zombienet-substrate-0003-block-building-warp-sync,5741,322.86432,7.540728,2024-09-27T12:19:26.387Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454367
7454366,success,zombienet,zombienet-substrate-0002-validators-warp-sync,5741,336.4527,7.130907,2024-09-27T12:19:26.380Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454366
7454365,success,zombienet,zombienet-substrate-0001-basic-warp-sync,5741,284.9818,6.744128,2024-09-27T12:19:26.373Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454365
7454364,success,zombienet,zombienet-substrate-0000-block-building,5741,282.07666,6.400353,2024-09-27T12:19:26.365Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454364
7454215,success,zombienet,zombienet-parachain-template-smoke,master,228.68102,4.433855,2024-09-27T12:16:16.559Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454215
7454214,success,zombienet,zombienet-bridges-0002-free-headers-synced-while-idle,master,1024.2612,3.465826,2024-09-27T12:16:16.549Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454214
7454213,success,zombienet,zombienet-bridges-0001-asset-transfer-works,master,1047.5294,3.086697,2024-09-27T12:16:16.538Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454213
7454212,success,zombienet,zombienet-polkadot-malus-0001-dispute-valid,master,495.7445,480.18274,2024-09-27T12:16:16.517Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454212
7454211,success,zombienet,zombienet-polkadot-misc-0002-upgrade-node,master,561.4464,479.72626,2024-09-27T12:16:16.505Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454211
7454210,success,zombienet,zombienet-polkadot-misc-0001-parachains-paritydb,master,464.36566,479.3479,2024-09-27T12:16:16.491Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454210
7454209,success,zombienet,zombienet-polkadot-smoke-0005-precompile-pvf-smoke,master,649.7806,477.34372,2024-09-27T12:16:16.476Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454209
7454208,success,zombienet,zombienet-polkadot-smoke-0004-coretime-smoke-test,master,532.8691,476.85745,2024-09-27T12:16:16.462Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454208
7454207,success,zombienet,zombienet-polkadot-smoke-0003-deregister-register-validator,master,529.73834,448.02075,2024-09-27T12:16:16.447Z,,https://gitlab.parity.io/parity/mirrors/polkadot-sdk/-/jobs/7454207
